resume_seq,reg_date,updated_date,degree,graduate_date,hope_salary,last_salary,job_code_seq1,career_job_code,hischool_type_seq,hischool_special_type,hischool_nation,hischool_gender,hischool_location_seq,univ_type_seq1,univ_type_seq2,univ_transfer,univ_location,univ_major_type,univ_score,language,score,job,certificate_cnt,career
U00935,18,1,2,0,0.0,0.0,4,4,0,0,1,0,0,5,5,0,15,19,2,5,3,5,4,6
U00936,14,11,4,2,3.0,3.0,7,4,21,1,2,2,3,5,5,0,3,9,3,5,3,10,3,5
U00937,13,3,4,1,5.0,4.0,7,4,21,1,2,3,3,5,5,0,5,9,2,5,3,5,2,2
U00938,14,3,2,0,4.0,4.0,7,2,21,1,0,1,3,5,10,0,4,7,2,5,3,7,1,0
U00939,19,6,4,1,4.0,3.0,7,4,21,2,2,2,3,0,0,0,0,9,1,5,3,7,2,2
U00940,14,8,4,1,4.0,3.0,7,3,0,0,1,0,0,5,5,0,18,9,1,5,3,5,1,4
U00941,20,7,4,1,2.0,2.0,7,2,21,1,0,1,5,5,5,0,3,9,1,5,3,5,0,2
U00942,20,2,4,0,0.0,1.0,7,4,21,1,2,2,10,5,5,0,10,0,2,0,1,10,5,6
U00943,18,11,4,1,3.0,3.0,7,4,21,1,0,1,5,0,0,0,0,9,3,5,3,0,0,6
U00944,16,10,4,1,0.0,1.0,7,4,21,2,2,3,3,5,5,0,10,9,1,5,3,5,0,2
U00945,20,2,4,0,3.0,3.0,7,4,8,4,0,1,5,5,7,0,3,9,4,5,3,9,4,2
U00946,19,2,4,1,2.0,0.0,7,4,0,0,1,0,0,5,5,0,17,8,2,2,2,10,4,6
U00947,20,11,5,2,0.0,2.0,7,4,21,2,2,1,14,5,5,0,15,0,2,5,3,0,0,2
U00948,13,8,4,2,0.0,0.0,7,4,21,1,2,2,3,5,5,0,18,5,3,5,3,10,0,4
U00949,19,4,4,0,2.0,2.0,7,1,21,1,2,2,18,5,5,0,18,9,4,5,3,10,1,6
U00950,16,8,4,1,4.0,3.0,7,1,21,1,2,2,3,0,0,0,0,3,3,5,3,1,1,2
U00951,20,11,4,1,3.0,3.0,7,4,21,1,2,3,17,5,5,0,5,8,2,5,3,8,0,2
U00952,12,4,4,2,4.0,3.0,7,4,21,1,2,1,5,5,5,0,3,9,2,5,3,5,1,0
U00953,19,2,4,0,0.0,0.0,7,2,21,1,0,2,3,5,5,0,3,11,3,0,0,10,4,6
U00954,19,9,4,2,0.0,0.0,7,4,0,0,1,0,0,5,8,0,15,9,3,1,1,0,1,4
U00955,18,2,4,2,0.0,4.0,7,4,21,2,2,2,3,0,0,0,0,0,3,5,3,7,1,5
U00956,20,10,4,1,0.0,1.0,7,3,21,1,2,3,3,5,5,0,3,9,2,5,3,3,0,6
U00957,19,8,4,2,0.0,3.0,4,4,0,0,1,0,0,5,5,0,10,4,2,5,3,1,0,4
U00958,18,4,4,1,0.0,0.0,4,4,21,1,0,1,3,5,5,0,3,19,2,5,3,0,1,6
U00959,20,8,3,1,0.0,2.0,7,3,8,4,2,1,3,0,0,0,0,9,4,5,3,5,0,6
U00960,20,5,4,1,1.0,1.0,7,4,16,4,2,3,17,0,0,0,0,4,3,5,3,0,8,6
U00961,18,9,4,0,0.0,0.0,7,4,21,2,2,1,3,0,0,0,0,4,2,0,2,5,2,6
U00962,15,3,4,1,0.0,3.0,7,2,19,3,2,1,11,5,5,0,3,9,3,5,3,8,1,2
U00963,15,7,4,3,0.0,0.0,4,1,0,0,1,0,0,5,5,0,3,9,4,5,3,5,0,5
U00964,16,10,4,1,0.0,0.0,7,2,0,0,1,0,0,5,5,0,3,0,2,5,3,10,1,5
U00965,19,2,4,1,0.0,0.0,7,4,21,2,2,1,3,5,5,0,3,9,2,5,3,3,1,6
U00966,10,0,5,2,0.0,5.0,7,4,0,0,1,0,0,5,5,0,17,4,2,5,3,5,1,0
U00967,20,4,4,1,3.0,3.0,7,2,20,3,2,1,3,5,5,0,3,19,1,5,3,0,0,2
U00968,19,2,4,1,0.0,0.0,7,3,21,1,0,2,3,5,5,0,4,9,3,5,3,0,1,6
U00969,18,2,5,1,0.0,2.0,4,4,21,1,0,3,11,5,5,0,11,4,4,5,3,5,4,2
U00970,15,1,4,2,0.0,0.0,2,0,21,1,2,1,3,5,5,0,17,10,3,5,3,4,1,5
U00971,20,7,5,1,0.0,3.0,7,3,21,1,0,1,3,0,0,0,0,2,2,5,3,5,2,2
U00972,19,0,4,1,0.0,0.0,7,4,0,0,1,0,0,5,5,0,3,0,3,5,3,1,3,6
U00973,13,5,4,1,0.0,2.0,7,4,21,1,2,1,5,5,5,0,10,9,2,5,3,5,1,2
U00974,9,7,4,2,0.0,3.0,7,4,21,1,2,3,11,5,5,0,3,0,2,5,3,2,0,5
U00975,16,11,4,1,6.0,5.0,7,2,21,1,2,1,5,5,5,0,5,7,4,5,3,1,0,5
U00976,16,6,4,1,4.0,3.0,7,4,0,0,1,0,0,0,0,0,0,3,3,5,3,7,3,4
U00977,15,9,3,0,0.0,4.0,7,1,21,1,2,2,7,0,0,0,0,9,2,0,1,6,4,5
U00978,20,11,4,0,0.0,2.0,7,4,21,1,0,1,3,5,5,0,9,9,3,5,3,0,1,6
U00979,18,2,2,0,0.0,4.0,7,2,16,4,2,1,3,5,5,0,3,3,4,5,3,7,8,0
U00980,20,7,4,1,0.0,0.0,7,3,21,1,0,1,5,5,5,0,3,9,3,5,3,3,2,6
U00981,20,11,4,1,0.0,0.0,7,1,21,1,2,2,17,5,5,0,10,10,2,5,3,7,2,6
U00982,20,4,3,0,0.0,5.0,7,4,0,0,1,0,0,5,5,0,5,3,4,5,3,10,0,3
U00983,19,8,4,1,1.0,2.0,7,4,8,4,0,1,13,5,5,0,17,9,2,5,3,5,1,6
U00984,17,5,4,0,0.0,0.0,7,1,21,1,1,1,18,3,5,0,8,9,2,5,3,3,2,6
U00985,20,3,4,0,0.0,0.0,7,4,21,1,0,2,3,5,5,0,3,5,3,5,3,1,1,6
U00986,18,7,4,2,0.0,4.0,7,1,21,1,2,1,6,5,5,0,6,10,4,5,3,7,1,4
U00987,20,3,4,0,0.0,0.0,7,4,21,1,0,3,5,5,5,0,3,9,2,0,1,5,1,6
U00988,20,7,4,0,2.0,2.0,7,4,21,1,2,1,5,5,5,0,13,9,2,5,3,3,3,6
U00989,15,0,4,1,0.0,2.0,7,4,21,1,2,3,11,5,5,0,3,9,2,5,3,3,2,2
U00990,19,7,4,0,0.0,0.0,7,4,21,1,0,1,13,5,5,0,13,20,2,5,3,0,3,6
U00991,20,0,4,1,1.0,1.0,7,4,21,1,0,3,17,3,5,0,15,4,1,5,3,0,1,6
U00992,20,4,4,0,0.0,2.0,7,4,21,1,0,1,5,5,5,0,3,8,2,0,1,0,3,2
U00993,20,9,4,1,0.0,0.0,7,4,21,2,2,2,9,3,5,0,7,10,4,5,3,1,1,5
U00994,20,8,4,1,3.0,3.0,7,2,0,0,1,0,0,5,5,0,15,8,2,5,3,10,3,6
U00995,19,3,4,1,0.0,2.0,7,3,21,1,2,3,3,5,5,0,3,9,3,5,3,5,0,2
U00996,20,2,2,0,3.0,3.0,7,4,21,1,2,1,3,0,0,0,0,23,2,5,3,9,1,5
U00997,20,4,4,0,2.0,3.0,7,4,21,1,0,3,12,5,5,0,11,9,2,5,3,5,0,6
U00998,20,11,4,1,0.0,0.0,4,4,21,1,2,3,3,5,5,0,3,9,1,5,3,5,0,6
U00999,14,10,4,1,0.0,4.0,7,4,0,0,1,0,15,3,5,0,10,9,2,5,3,5,0,4
U01000,18,0,2,0,0.0,1.0,7,4,16,4,0,1,5,4,5,0,13,6,4,5,3,5,4,6
U01001,19,7,4,1,0.0,0.0,7,3,21,1,0,1,5,5,5,0,3,9,3,5,3,10,3,6
U01002,9,0,4,1,4.0,4.0,7,4,21,1,0,1,13,5,5,0,5,0,2,0,0,5,3,5
U01003,18,7,4,1,1.0,1.0,7,4,0,0,1,0,0,5,5,0,9,9,3,5,3,0,1,6
U01004,18,1,4,0,0.0,0.0,7,4,21,1,2,2,5,5,5,0,3,9,3,5,3,9,1,6
U01005,11,8,2,0,0.0,4.0,7,4,0,0,1,0,0,3,6,0,3,8,4,5,3,9,3,3
U01006,19,5,3,1,1.0,1.0,7,3,21,1,2,1,5,5,10,0,5,9,1,5,3,0,1,6
U01007,15,8,5,0,2.0,2.0,7,4,21,1,2,3,3,5,5,0,5,9,2,5,3,1,0,2
U01008,13,8,3,1,3.0,3.0,7,4,21,1,0,3,3,3,6,0,3,19,3,5,3,5,1,4
U01009,20,1,4,1,3.0,2.0,7,2,21,1,2,3,3,5,5,0,5,3,3,0,1,5,1,6
U01010,16,4,4,1,3.0,2.0,4,3,19,3,2,1,3,5,5,0,3,9,4,5,3,5,0,2
U01011,20,7,4,2,0.0,3.0,2,2,21,2,2,2,3,5,5,0,17,7,3,5,3,6,1,5
U01012,18,4,4,0,0.0,0.0,7,4,21,1,0,1,5,5,5,0,3,9,2,5,3,0,6,6
U01013,14,5,4,2,3.0,0.0,7,4,21,1,0,3,6,3,5,0,6,0,2,5,3,1,1,4
U01014,20,11,4,1,2.0,10.0,7,4,21,1,2,2,5,5,5,0,19,9,2,5,3,7,3,6
U01015,17,9,4,1,0.0,2.0,4,4,21,1,0,3,15,5,5,0,3,5,2,5,3,5,0,2
U01016,13,1,4,1,0.0,4.0,7,4,21,1,2,3,6,5,5,0,11,9,2,5,3,5,0,5
U01017,18,6,4,2,4.0,4.0,7,2,21,1,2,2,11,3,5,0,11,8,4,5,3,10,1,5
U01018,17,1,4,1,0.0,2.0,7,4,21,2,2,1,0,3,6,0,3,19,3,0,0,1,1,2
U01019,20,10,4,0,2.0,2.0,7,1,21,1,0,3,5,0,0,0,0,3,3,0,0,0,0,6
U01020,18,4,2,0,2.0,1.0,2,1,8,4,2,1,3,5,5,0,5,11,3,5,3,1,0,2
U01021,20,2,4,3,0.0,4.0,7,4,21,1,2,1,3,0,0,0,0,9,4,5,3,1,0,3
U01022,14,10,4,1,0.0,2.0,7,1,21,1,2,3,10,5,5,0,10,4,2,5,3,5,5,2
U01023,18,2,4,2,3.0,3.0,4,4,21,1,2,1,5,5,5,0,5,19,3,5,3,5,0,4
U01024,19,3,4,1,3.0,4.0,7,1,21,1,0,1,3,0,0,0,0,5,2,5,3,1,0,2
U01025,20,9,4,1,0.0,0.0,7,4,22,1,0,3,5,5,5,0,3,3,3,5,3,1,6,6
U01026,18,1,4,0,0.0,0.0,7,4,21,1,0,3,14,3,5,0,14,9,3,5,3,6,2,6
U01027,20,6,4,0,2.0,2.0,7,4,21,1,2,2,5,5,5,0,3,9,4,5,3,1,3,6
U01028,15,3,4,2,3.0,3.0,7,4,21,1,2,2,15,5,5,0,3,5,2,5,3,10,0,4
U01029,11,3,4,1,0.0,0.0,7,4,21,1,0,1,3,5,5,0,5,8,2,1,1,7,1,5
U01030,13,1,4,2,3.0,3.0,7,4,0,0,1,0,3,5,5,0,18,0,2,5,3,7,0,4
U01031,19,6,4,2,0.0,9.0,7,4,0,0,1,0,0,5,5,0,3,10,1,5,3,1,0,0
U01032,12,2,4,2,0.0,0.0,7,3,21,1,2,1,3,5,5,0,3,0,2,5,3,5,0,5
U01033,17,2,4,1,0.0,3.0,7,4,16,4,2,3,5,5,5,0,3,3,2,5,3,0,1,6
U01034,20,4,4,1,0.0,1.0,7,4,21,2,0,3,9,0,0,0,0,9,2,5,3,8,1,6
U01035,20,7,4,1,3.0,4.0,7,4,21,2,0,2,11,5,5,0,4,3,3,5,3,10,4,2
U01036,20,9,4,0,0.0,2.0,7,4,21,1,0,1,5,4,5,0,13,4,2,5,3,0,1,6
U01037,15,3,4,1,0.0,3.0,7,4,0,0,1,0,0,5,5,0,7,9,3,5,3,9,2,2
U01038,20,11,4,0,0.0,0.0,7,4,21,1,0,1,12,5,5,0,11,9,2,5,3,5,1,6
U01039,16,10,4,1,3.0,3.0,7,2,0,0,1,0,0,5,5,0,3,2,3,0,0,10,2,2
U01040,20,8,4,1,0.0,0.0,7,4,21,1,0,3,6,5,5,0,11,9,2,0,0,5,0,6
U01041,13,0,4,1,0.0,3.0,7,2,21,1,2,2,11,5,5,0,14,10,2,5,3,10,2,5
U01042,15,11,4,1,0.0,2.0,7,3,19,3,0,1,18,5,5,0,17,9,2,5,3,3,2,2
U01043,19,5,4,2,0.0,7.0,7,4,21,1,0,3,7,5,5,0,3,10,2,5,3,10,3,0
U01044,19,0,4,0,1.0,2.0,7,4,21,1,2,1,18,5,5,0,18,9,4,5,3,5,0,6
U01045,13,9,4,1,3.0,3.0,7,4,21,1,2,2,3,5,5,0,3,9,4,5,3,7,1,4
U01046,17,2,4,1,0.0,1.0,4,4,21,1,0,1,10,5,5,0,10,9,2,5,3,5,2,2
U01047,20,5,3,0,2.0,4.0,7,1,21,1,0,1,4,0,0,0,0,9,2,5,3,10,1,6
U01048,16,6,4,1,2.0,2.0,7,4,21,1,2,3,9,3,5,0,3,10,1,5,3,1,0,6
U01049,11,9,4,1,4.0,3.0,7,4,21,1,2,3,11,5,5,0,11,19,2,5,3,3,0,4
U01050,16,7,4,0,3.0,3.0,7,4,21,1,2,3,3,5,5,1,5,9,2,5,3,3,1,2
U01051,20,8,4,1,2.0,2.0,7,4,0,0,1,0,14,0,0,0,0,11,2,5,3,9,4,6
U01052,18,8,4,0,0.0,2.0,7,4,21,2,2,1,3,5,5,0,3,9,3,5,3,0,1,6
U01053,20,3,4,1,2.0,2.0,7,4,21,1,2,3,15,5,5,0,3,9,3,5,3,5,0,6
U01054,17,0,4,1,2.0,2.0,7,4,21,1,2,1,3,5,5,0,5,3,4,5,3,7,5,6
U01055,19,10,4,1,5.0,5.0,7,2,21,1,2,2,11,5,5,0,11,5,2,0,0,6,3,5
U01056,16,9,3,0,5.0,5.0,7,2,21,1,0,2,3,0,0,0,0,8,4,5,3,9,1,5
U01057,20,6,4,2,2.0,2.0,2,2,21,1,2,2,3,5,5,0,17,3,1,5,3,9,1,5
U01058,19,9,4,1,0.0,0.0,7,3,21,1,0,3,13,5,5,0,3,9,2,5,3,1,0,6
U01059,20,3,4,2,5.0,5.0,4,4,21,2,2,3,3,5,5,0,3,19,1,5,3,0,0,5
U01060,17,10,4,1,0.0,0.0,4,4,21,1,2,3,5,5,5,0,3,0,2,5,3,5,1,6
U01061,19,10,4,0,0.0,0.0,4,4,21,1,2,3,3,5,5,0,3,9,3,5,3,5,1,6
U01062,19,0,4,1,0.0,0.0,7,4,0,0,1,0,0,5,5,0,3,9,3,0,0,0,2,6
U01063,20,7,4,2,0.0,0.0,7,4,21,1,2,2,3,5,5,0,3,6,3,5,3,10,1,4
U01064,13,4,4,1,0.0,5.0,7,4,21,1,0,1,3,3,6,0,3,19,3,5,3,3,0,5
U01065,13,2,4,3,0.0,4.0,6,4,0,0,1,0,0,5,5,0,5,3,2,5,3,1,1,0
U01066,20,1,4,1,1.0,1.0,4,2,0,0,1,0,0,5,5,0,11,4,2,5,3,5,1,6
U01067,18,7,4,1,6.0,5.0,7,4,0,0,1,0,0,5,5,0,3,9,2,5,3,5,0,4
U01068,19,9,4,1,2.0,2.0,4,4,18,1,2,3,8,5,5,0,15,9,1,5,3,6,0,6
U01069,13,8,4,1,0.0,3.0,4,1,21,1,0,1,11,5,5,0,11,9,2,5,3,1,1,5
U01070,16,11,5,2,0.0,0.0,7,4,21,1,2,3,11,5,5,0,11,4,2,5,3,1,0,5
U01071,16,10,4,2,0.0,0.0,2,1,21,1,2,3,3,5,5,0,5,3,2,5,3,0,0,4
U01072,15,6,4,1,0.0,3.0,7,4,0,0,1,0,0,5,5,0,7,0,3,5,3,5,1,4
U01073,20,9,4,0,0.0,1.0,7,3,0,0,1,0,0,5,10,0,3,9,2,5,3,5,4,6
U01074,12,8,4,1,0.0,0.0,7,4,21,1,0,1,8,5,5,0,5,9,3,5,3,0,1,4
U01075,19,3,4,1,0.0,2.0,7,1,21,1,0,3,14,5,5,0,3,9,2,5,3,8,3,2
U01076,17,5,4,1,0.0,3.0,4,4,21,1,0,1,5,5,5,0,3,0,1,2,2,0,0,2
U01077,20,10,4,0,0.0,0.0,7,4,21,1,0,1,5,0,0,0,0,9,3,5,3,5,0,6
U01078,9,11,4,1,0.0,4.0,7,4,21,1,2,3,3,5,5,0,3,9,2,5,3,8,2,5
U01079,19,6,3,1,0.0,0.0,7,1,21,1,0,1,5,5,10,0,13,9,3,5,3,1,1,6
U01080,20,8,4,0,0.0,2.0,7,4,21,1,2,3,7,5,5,0,7,9,3,5,3,5,0,6
U01081,20,7,4,0,2.0,0.0,7,4,0,0,1,0,0,5,5,0,10,5,4,5,3,5,0,6
U01082,15,4,4,3,4.0,4.0,7,4,21,1,2,2,3,5,5,0,3,2,3,5,3,9,2,5
U01083,17,3,3,1,2.0,2.0,7,4,21,1,0,2,3,5,5,0,5,6,3,5,3,5,0,6
U01084,17,6,4,1,0.0,2.0,7,4,21,1,2,3,0,0,0,0,0,9,2,0,2,0,6,2
U01085,20,11,4,0,0.0,1.0,4,1,21,1,0,1,5,3,5,0,4,9,3,5,3,5,2,6
U01086,20,8,4,1,0.0,0.0,2,4,21,1,2,1,5,5,5,0,4,5,2,5,3,4,1,6
U01087,19,10,4,1,0.0,0.0,2,4,0,0,1,0,0,5,5,0,15,5,2,5,3,6,3,6
U01088,20,11,4,0,0.0,0.0,7,4,21,1,2,3,9,5,5,0,7,9,2,5,3,5,3,6
U01089,15,10,4,1,3.0,3.0,7,4,0,0,1,0,5,5,5,0,3,19,1,5,3,0,3,4
U01090,18,2,4,1,2.0,2.0,7,5,21,1,2,3,3,5,5,0,5,4,3,5,3,0,0,6
U01091,20,10,3,1,0.0,0.0,7,2,8,4,2,2,3,5,10,0,5,9,4,5,3,6,0,6
U01092,20,11,4,0,2.0,2.0,7,1,21,1,0,1,5,5,5,0,5,9,1,5,3,3,1,2
U01093,20,7,2,0,0.0,4.0,7,4,21,1,2,2,13,3,5,0,3,6,2,5,3,9,1,4
U01094,19,11,4,0,0.0,0.0,7,4,21,1,0,3,17,5,5,0,3,4,3,5,3,0,1,6
U01095,20,0,4,1,0.0,0.0,7,2,21,1,2,3,3,5,5,0,3,19,2,5,3,0,0,6
U01096,20,11,4,1,2.0,1.0,7,1,21,1,2,2,16,3,5,0,16,4,1,5,3,0,1,6
U01097,20,4,4,1,2.0,2.0,7,0,21,1,2,1,5,5,5,0,5,9,3,5,3,1,3,6
U01098,19,1,4,1,4.0,3.0,7,2,21,2,0,1,18,0,0,0,0,9,3,5,3,10,3,2
U01099,20,5,4,1,0.0,1.0,4,4,21,1,2,2,3,5,5,0,3,9,2,0,0,6,1,6
U01100,19,0,4,0,0.0,0.0,4,4,21,1,2,3,9,5,5,0,7,9,2,5,3,5,4,6
U01101,19,2,4,1,0.0,4.0,7,4,16,4,2,3,11,5,5,0,11,19,1,5,3,0,3,2
U01102,15,4,4,0,5.0,4.0,7,4,21,1,2,2,7,3,5,0,11,10,4,5,3,0,3,4
U01103,20,1,2,0,4.0,4.0,7,1,21,1,2,1,3,0,0,0,0,12,4,5,3,7,0,5
U01104,18,4,4,2,4.0,4.0,2,4,21,1,2,2,6,5,5,0,3,3,2,5,3,4,0,5
U01105,12,7,4,2,0.0,0.0,7,4,21,2,2,3,3,5,10,0,3,19,2,5,3,0,2,4
U01106,20,4,4,1,0.0,0.0,7,4,21,2,0,1,7,5,5,0,9,10,1,5,3,7,0,5
U01107,20,0,4,0,2.0,2.0,7,4,21,1,2,3,12,5,5,0,7,9,2,5,3,5,1,6
U01108,17,0,3,1,2.0,2.0,7,3,21,1,2,3,18,5,5,0,18,9,2,5,3,3,0,6
U01109,20,11,4,1,0.0,0.0,7,4,21,1,2,3,8,5,5,0,3,0,2,0,2,0,2,6
U01110,18,2,4,0,0.0,0.0,7,1,21,1,0,1,3,5,5,1,3,2,2,5,3,0,3,2
U01111,14,5,4,1,0.0,2.0,7,4,0,0,1,0,14,5,5,0,14,11,4,5,3,9,3,4
U01112,14,2,5,2,0.0,6.0,4,4,21,1,0,3,5,5,5,0,3,9,2,5,3,5,0,0
U01113,12,4,4,2,0.0,5.0,7,4,21,1,2,3,3,5,5,0,3,0,2,5,3,5,0,5
U01114,20,0,4,0,2.0,2.0,7,4,21,1,0,1,5,5,5,0,3,8,3,5,3,0,0,6
U01115,19,4,4,1,0.0,2.0,7,1,21,1,0,1,10,5,5,0,10,9,1,5,3,3,3,6
U01116,13,1,4,1,0.0,3.0,2,1,21,1,0,1,3,3,5,0,4,4,4,5,3,6,0,2
U01117,14,4,4,2,6.0,8.0,2,1,21,1,0,2,12,5,5,0,12,5,3,5,3,1,2,5
U01118,10,2,4,1,6.0,5.0,7,4,21,2,2,2,11,5,5,0,3,9,2,5,3,7,2,5
U01119,20,10,4,1,0.0,2.0,7,4,21,2,2,2,3,5,5,0,4,3,1,5,3,10,3,6
U01120,6,2,4,1,0.0,0.0,7,4,0,0,1,0,18,5,5,0,7,0,1,5,3,1,2,5
U01121,19,1,4,1,4.0,3.0,7,4,21,1,2,2,3,5,5,0,4,3,1,5,3,7,0,4
U01122,19,6,4,1,0.0,0.0,4,4,21,1,0,1,5,5,5,0,3,9,2,5,3,3,3,6
U01123,13,1,4,3,4.0,4.0,7,4,21,1,2,2,3,5,5,0,3,0,2,5,3,0,1,1
U01124,14,2,4,2,4.0,5.0,2,1,21,2,2,2,3,5,5,0,5,3,3,5,3,4,0,5
U01125,19,0,4,1,0.0,1.0,4,4,21,1,2,3,3,5,5,0,3,9,2,5,3,5,3,6
U01126,10,1,4,1,4.0,4.0,7,4,21,1,2,1,6,5,5,0,3,19,2,5,3,5,1,4
U01127,18,8,4,1,3.0,3.0,7,4,21,1,0,3,7,3,5,0,7,6,2,5,3,1,3,2
U01128,17,9,4,1,0.0,2.0,7,1,21,1,2,1,12,5,5,0,10,19,2,5,3,5,3,2
U01129,20,5,4,1,0.0,0.0,7,4,21,1,2,3,3,5,5,0,5,4,2,0,0,10,3,6
U01130,17,1,4,1,0.0,1.0,7,4,21,1,0,3,9,5,5,0,9,9,4,5,3,3,1,6
U01131,20,2,4,1,0.0,0.0,7,4,20,3,2,1,13,5,5,0,10,9,2,5,3,0,2,6
U01132,12,4,4,3,0.0,4.0,2,2,21,1,2,2,3,5,5,0,5,9,3,5,3,1,1,0
U01133,20,6,4,1,0.0,2.0,7,0,21,1,0,1,5,0,0,0,0,3,2,5,3,0,3,6
U01134,16,9,4,1,0.0,5.0,2,1,0,0,1,0,0,0,0,0,0,3,3,5,3,4,0,5
U01135,1,7,4,2,0.0,0.0,7,4,21,1,2,2,3,5,5,0,17,9,3,5,3,5,2,0
U01136,19,2,4,0,0.0,0.0,2,3,21,1,0,1,0,5,5,0,3,9,3,5,3,3,1,6
U01137,19,6,4,1,0.0,2.0,7,4,21,1,0,3,3,5,5,0,17,9,3,5,3,3,3,2
U01138,18,1,4,1,3.0,2.0,7,4,0,0,1,0,0,5,5,0,5,3,2,5,3,0,1,2
U01139,19,3,4,1,0.0,2.0,4,4,0,0,1,0,0,5,5,0,17,9,1,5,3,5,0,2
U01140,16,5,4,1,0.0,3.0,7,4,21,1,2,3,3,5,5,0,5,5,2,5,3,5,0,2
U01141,20,8,4,0,2.0,0.0,7,4,21,1,0,1,6,5,5,0,3,4,2,5,3,0,0,6
U01142,14,2,4,2,0.0,0.0,7,4,21,1,0,1,14,5,5,0,8,9,3,5,3,5,0,5
U01143,16,1,4,1,3.0,2.0,7,4,21,1,0,3,12,5,5,0,3,9,2,5,3,0,0,2
U01144,18,2,4,1,0.0,1.0,7,4,21,1,0,1,3,5,5,0,17,9,3,5,3,1,1,6
U01145,16,4,5,2,0.0,0.0,4,4,21,1,2,2,10,5,5,0,10,4,2,5,3,5,5,2
U01146,20,0,5,2,2.0,5.0,7,1,0,0,1,0,0,5,5,0,3,9,2,5,3,5,0,5
U01147,20,5,4,2,4.0,3.0,7,4,21,1,0,3,12,5,5,0,9,19,1,5,3,0,0,4
U01148,17,2,4,1,2.0,1.0,7,4,0,0,1,0,0,0,0,0,0,9,3,5,3,0,3,6
U01149,20,1,4,0,0.0,2.0,7,4,21,1,2,3,3,3,6,0,3,5,3,5,3,0,1,6
U01150,20,1,4,1,2.0,2.0,7,4,0,0,1,0,0,5,8,0,17,9,2,5,3,5,0,6
U01151,10,9,4,1,6.0,6.0,7,3,0,0,1,0,3,5,5,0,3,9,1,5,3,1,0,5
U01152,20,1,4,0,0.0,0.0,7,3,8,4,2,1,5,5,5,0,3,9,1,5,3,5,0,6
U01153,15,3,4,1,0.0,0.0,7,4,21,1,2,1,5,5,5,0,3,4,2,5,3,5,4,2
U01154,20,1,4,1,2.0,2.0,7,4,21,1,0,3,10,5,5,0,10,0,1,5,3,0,0,6
U01155,6,2,4,2,0.0,0.0,7,4,21,1,2,2,3,0,0,0,0,5,1,5,3,1,0,0
U01156,19,7,4,1,0.0,2.0,7,4,0,0,1,0,0,3,5,0,16,5,3,5,3,1,0,2
U01157,20,7,4,3,6.0,6.0,7,4,21,1,2,3,3,5,5,0,3,19,3,5,3,9,1,3
U01158,20,3,5,1,4.0,0.0,7,4,0,0,1,0,0,0,0,0,0,9,1,5,3,5,0,6
U01159,14,4,3,1,0.0,0.0,7,4,21,1,0,3,3,5,10,0,5,9,2,5,3,5,1,4
U01160,18,1,3,0,0.0,0.0,7,1,0,0,1,0,0,0,0,0,0,9,2,5,3,5,5,6
U01161,18,9,4,1,0.0,2.0,7,4,16,4,2,3,11,3,5,0,11,19,3,2,1,5,4,6
U01162,17,6,4,2,0.0,3.0,7,2,0,0,1,0,0,5,5,0,3,3,4,5,3,1,1,2
U01163,18,7,4,0,3.0,3.0,7,4,21,1,2,3,3,5,5,0,3,4,2,0,1,10,1,6
U01164,19,3,4,1,3.0,2.0,7,2,21,1,0,2,3,5,5,0,3,3,3,5,3,7,2,2
U01165,14,4,4,2,0.0,4.0,7,4,21,1,2,2,11,5,5,0,8,0,3,5,3,0,1,5
U01166,17,11,4,1,0.0,2.0,7,0,21,1,0,2,5,5,5,0,10,9,4,5,3,1,1,2
U01167,20,1,3,1,0.0,1.0,7,4,21,1,0,1,5,0,0,0,0,9,1,5,3,5,0,6
U01168,19,10,5,2,0.0,0.0,7,4,21,1,0,3,3,5,5,0,7,9,2,5,3,5,2,4
U01169,13,1,4,2,3.0,3.0,7,4,21,1,0,2,11,5,5,0,11,0,2,5,3,1,2,0
U01170,15,5,4,1,2.0,2.0,2,1,21,1,0,1,3,5,5,0,17,12,4,5,3,10,1,4
U01171,20,9,4,1,2.0,2.0,7,4,21,1,0,1,5,0,0,0,0,9,2,5,3,5,0,6
U01172,18,5,5,1,0.0,0.0,7,2,21,1,2,2,3,5,5,0,4,5,2,5,3,0,2,6
U01173,14,5,4,1,0.0,3.0,7,4,21,1,0,1,5,5,5,0,13,19,1,5,3,0,1,2
U01174,17,10,4,2,5.0,5.0,7,4,21,1,0,2,11,5,5,0,11,3,2,5,3,10,1,0
U01175,19,4,4,1,0.0,0.0,7,3,21,1,2,1,3,5,5,0,3,9,3,5,3,5,6,6
U01176,19,10,4,0,0.0,10.0,7,4,0,0,1,0,0,0,0,0,0,9,1,1,0,5,4,6
U01177,9,5,4,2,6.0,6.0,7,2,21,1,2,2,3,5,5,0,5,8,4,5,3,10,1,0
U01178,16,5,4,1,0.0,0.0,7,3,21,1,0,1,4,5,5,0,17,9,4,5,3,5,0,2
U01179,15,2,4,1,3.0,2.0,4,4,21,1,0,1,11,3,5,0,11,9,3,5,3,5,1,4
U01180,17,0,4,1,0.0,0.0,7,3,0,0,1,0,0,5,5,0,10,9,4,5,3,5,2,6
U01181,20,11,3,1,3.0,2.0,7,1,8,4,2,2,3,5,10,0,5,10,1,5,3,9,1,5
